commercial_name_en,commercial_name_ar,scientific_name,manufacturer,drug_class,route,price_egp
ACNE-STOP CREAM 30 GM,أكني-ستوب,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,MASH PREMIERE,SKIN CARE.ANTI-ACNE,TOPICAL,80.0
ACNE-STOP FACIAL WASH 250 ML,أكني-ستوب فاسيال واش,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,MASH PREMIERE,SKIN CARE.ANTI-ACNE,TOPICAL,130.0
ACNE-STOP SYSTEM (CREAM+WASH),أكني-ستوب سيستيم,OLEANOLIC ACID+NDGA (NORDIHYDROGUAIARETIC ACID)+PROPOLIS+OSMOTIC GEL,MASH PREMIERE,SKIN CARE.ANTI-ACNE,TOPICAL,200.0
ACNEBLESS CREAM 50 GM,أكنيبليسس,,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,ACNE,TOPICAL,110.0
ACNEBLESS FACIAL CLEANSING FOAMING GEL 200 ML,أكنيبليسس فاسيال كليانسينج فوامينج,,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,ACNE,TOPICAL,150.0
ACNEBLESS FACIAL GEL 50 ML,أكنيبليسس فاسيال,,KEMPETRO FOR CHEMICAL INDUSTRIES > NOVELL PHARMA,ACNE,TOPICAL,115.0
ACNEFENCE TOPICAL GEL 50 GM,أكنيفينسي,GLYCOLIC ACID+SALICYLIC ACID+GREEN TEA EXTRACT+CHAMOMILE+RETINYL PALMITATE+VITAMIN E+ASCORBIC ACID,EL-HELOU PERFUMES & COSMETICS > CAPITAL PHARMA,ANTI-ACNE,TOPICAL,37.0
ACNELOFIX 20 MG 20 CAPS.,أكنيلوفيكس,ISOTRETINOIN,MELANO PHARMA,ANTI-ACNE,ORAL.SOLID,270.0
ACNESCAVE 0.1% TOPICAL GEL 30 GM,أكنيسكافي 0.1%,ADAPALENE,BIOPHARM > SAJA PHARMA,ANTI-ACNE,TOPICAL,37.0
ACNESEPT 80 GRAM SOAP,أكنيسيبت 80 جرام سواب,TRICLOSAN(IRGASAN)+TEGOBETAIN+CITRIC ACID+SULPHUR PPT.+SALICYLIC ACID+MENTHOL+ZINC OXIDE+LEMON OIL,ZAYTONA EGYPT,ANTI-ACNE,SOAP,4.75
ACNESOL SOAP 100 GM,أكنيسول سواب,,UNITED ALLAM FACTORY >,ANTI-ACNE,SOAP,8.5
ACNESONE LOTION 60 ML,أكنيسوني,CALAMINE+HYDROCORTISONE+SULPHUR,GLOBAL NAPI PHARMACEUTICALS,ANTI-ACNE,UNKNOWN,8.5
ACNETIN- A 0.025% TOPICAL GEL 30 GM,أكنيتين- أ 0.025%,TRETINOIN,SIGMA,ANTI-ACNE,TOPICAL,9.0
ACNETIN- A 0.05% CREAM 30 GM,أكنيتين- أ 0.05%,TRETINOIN,SIGMA,ANTI-ACNE,TOPICAL,9.0
ACNETIN- A 0.05% TOPICAL SOL. 15 ML,أكنيتين- أ 0.05%,TRETINOIN,SIGMA,ANTI-ACNE,UNKNOWN,6.0
ACNETROX 1% TOPICAL CREAM 25 GM,أكنيتروكس 1%,NADIFLOXACIN,EVA PHARMA,ANTIBIOTIC.QUINOLONE,TOPICAL,43.0
ACNEVERA SOAP 80 GM,أكنيفيرا سواب,ALOE VERA+ZINC OXIDE+SALICYLIC ACID+SULPHUR+RESORCINOL,HI-CARE > ROVAMED PHARMA,ANTI-ACNE,SOAP,65.0
ACNEVIT ANTI-ACNE CLEANSING GEL 200 ML,أكنيفيت أنتي-أكني كليانسينج,,ALPAYA DERMACEUTICALS > VAMER PHARMA,ANTI-ACNE,TOPICAL,230.0
ACNEVIT ANTI-ACNE SERUM 30 ML,أكنيفيت أنتي-أكني سيروم,,ALPAYA DERMACEUTICALS > VAMER PHARMA,ANTI-ACNE,UNKNOWN,420.0
ACNI-CARE 2% LOTION 25 ML (N/A),أكني-كاري 2%,ERYTHROMYCIN,SIGMA,ANTIBIOTIC.MACROLIDE,UNKNOWN,20.0
ACNI-CARE 2% TOP. GEL. 20 GM (N/A),أكني-كاري 2% توب,ERYTHROMYCIN,SIGMA,ANTIBIOTIC.MACROLIDE,TOPICAL,6.5
ACNIACT TOPICAL GEL 15 GM,أكنياكت,ADAPALENE+BENZOYL PEROXIDE,AUG PHARMA,ANTI-ACNE,TOPICAL,39.0
ACNIDU TOPICAL GEL (N/A),أكنيدو,BENZOYL PEROXIDE+ERYTHROMYCIN,EVA PHARMA,ANTI-ACNE,TOPICAL,16.2
ACNIL LOTION 60 ML,أكنيل,SULPHUR PPT.+RESORCIN,EL NILE.,ANTI-ACNE,UNKNOWN,3.0
ACNIMED FACE FOAM CLEANSER 200 ML,أكنيميد فاسي كليانسير,,MEDITOPIC,SKIN CARE,TOPICAL,345.0
ACNIMED TOPICAL GEL 75 ML,أكنيميد,,MEDITOPIC,SKIN CARE,TOPICAL,380.0
ACNISWAB 0.1% CREAM 30 GM,أكنيسواب 0.1%,TAZAROTENE,UNISWAB,PSORIASIS,TOPICAL,45.0
ACNITAZ 0.1% TOPICAL GEL. 15 GM,أكنيتاز 0.1%,TAZAROTENE,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI),PSORIASIS,TOPICAL,14.4
ACNORA CREAM 50 ML,أكنورا,LAVENDER+THYME+HYPERICUM+OLIVE LEAF EXT.,BENOSTAN > MAGIC PHARMA-EGYPT,ANTI-ACNE,TOPICAL,140.0
ACOMPLIA 20MG  14F.C.TABLET (WITHDRAWAL),أكومبليا,RIMONABANT,SANOFI WINTHROP > SANOFI,.,ORAL.SOLID,250.0
ACRETIN 0.025% CREAM 30 GM,أكريتين 0.025%,TRETINOIN,JAMJOOM PHARMACEUTICALS,ANTI-ACNE,TOPICAL,38.0
ACRETIN 0.05% CREAM 30 GM,أكريتين 0.05%,TRETINOIN,JAMJOOM PHARMACEUTICALS,ANTI-ACNE,TOPICAL,43.0
ACRO CREAM 75 GM,أكرو,VITAMIN A+VITAMIN E,EGYPTIAN CO. FOR COSMETICS (E.C.C.) > ACROMEDICA FOR DRUG TRADING,skin care.MOISTURIZING,TOPICAL,80.0
ACROCAL 24 CHEWABLE TABS.,أكروكال 24 تشيوابلي,CALCIUM+MAGNESIUM+ZINC+VITAMIN D3,NUTRIXIA > GLAXO HEALTH PHARMA,CALCIUM SUPPLEMENT,ORAL.SOLID,49.5
ACROLYTE 250ML SOLUTION,أكروليتي,ELECTROLYTES+ZINC+PREBIOTIC,ORGANIX FOR DIETARY SUPPLEMENTS > BIOCTIVA PHARMA,ELECTROLYTES,ORAL.LIQUID,60.0
ACROMAR H 30 ML NASAL SPRAY,أكرومار ه,HYPERTONIC SOLUTION+HYALURONIC ACID+EUCALYPTUS+PANTHENOL+ALOE VERA,NILE COSMOTICS FACRORY > NUTRISYNTH FOR TRADE AND DISTRIBUTION,NASAL SPRAY,SPRAY,89.0
ACT HAIR SHAMPOO 125 ML,أكت هاير,,GLOBE INTERNATIONAL PHARMACEUTICALS,HAIR CARE,TOPICAL,19.75
ACT LIFE 20 CAPSULES,أكت ليفي,CHROMIUM PICOLINATE,DEBEIKY,WEIGHT LOSS,ORAL.SOLID,54.0
ACT-HIB VACCINE 10MCG/0.5ML VIAL,أكت-هيب فاكسيني /,HAEMOPHILUS INFLUENZA+TETANUS TOXOID,SANOFI PASTEUR-FRANCE > ETIMEX-EGYPT,VACCINE,INJECTION,50.0
ACTEMRA 200 MG/10ML VIAL FOR I.V. INF.,أكتيمرا /,TOCILIZUMAB,F.HOFFMAN LA ROCHE,IMMUNOSUPPRESSANT,INJECTION,7569.0
ACTEMRA 400 MG/20ML VIAL FOR I.V. INF.,أكتيمرا /,TOCILIZUMAB,F.HOFFMAN LA ROCHE,IMMUNOSUPPRESSANT,INJECTION,14160.0
ACTEMRA 80 MG/4ML VIAL FOR I.V. INF.,أكتيمرا /,TOCILIZUMAB,F.HOFFMAN LA ROCHE,IMMUNOSUPPRESSANT,INJECTION,2763.0
ACTI 20 MG 20 F.C. TABS.,أكتي,VONOPRAZAN,MASH PREMIERE,PEPTIC ULCER.POTASSIUM-COMPETITIVE ACID BLOCKER,ORAL.SOLID,106.0
ACTI 4 PLUS WHITENING CREAM 75 GM,أكتي 4 بلوس وهيتينينج,,> XCEL PHARMA,SKIN CARE.WHITENING,TOPICAL,90.0
ACTI MASS SPRAY100ML,أكتي ماسس سبراي100مل,MENTHOL CRYSTAL+CAMPHOR OIL+EUCALYPTUS OIL+CLOVE OIL,ACTIMED > PHARMACIA ELITE,MASSAGE SPRAY,UNKNOWN,95.0
ACTI-COLLA ADVANCE 10 SACHETS,أكتي-كوللا أدفانسي,GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+TURMERIC+BLACK PEPPER,EVA PHARMA,ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS,EFF,390.0
ACTI-COLLA ADVANCE 30 SACHETS,أكتي-كوللا أدفانسي,GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+TURMERIC+BLACK PEPPER,EVA PHARMA,ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS,EFF,990.0
ACTI-COLLA-C 10 SACHETS,أكتي-كوللا-ك,GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+ROSEHIP EXTRACT,EVA PHARMA,ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS,EFF,288.0
ACTI-COLLA-C 30 SACHETS,أكتي-كوللا-ك,GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+ROSEHIP EXTRACT,EVA PHARMA,ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS,EFF,666.0
ACTI-FOLIC 30 TABS.,أكتي-فوليك,L-METHYLFOLATE,OCTOBER PHARMA,FOLIC ACID DERIVATIVE,ORAL.SOLID,55.0
ACTI-MASS MASSAGE CREAM50GM,أكتي-ماسس ماسساجي كريام50جم,MENTHOL-SALICYLIC ACID-CERA ALBA-GLYCERIN,ACTIMED > PHARMACIA ELITE,MASSAGE CREAM,TOPICAL,70.0
ACTI-VITA CLEANSING LOTION 200 ML,أكتي-فيتا كليانسينج,,MONTEIL PARIS > MULTITRADE,SKIN ACRE,UNKNOWN,269.0
ACTI-VITA ENRICHED EYE CREME PROCGEN 15 ML,أكتي-فيتا إنريتشيد إيي كريمي بروكجين,,MONTEIL PARIS > MULTITRADE,EYE CONTOUR,TOPICAL,443.0
ACTI-VITA GOLD PROCGEN CREME DAY/NIGHT 50 ML,أكتي-فيتا جولد بروكجين كريمي داي/نيغت,,MONTEIL PARIS > MULTITRADE,SKIN CARE,TOPICAL,1057.0
ACTI-VITA GOLD PROCGEN SERUM 15 ML,أكتي-فيتا جولد بروكجين سيروم,,MONTEIL PARIS > MULTITRADE,SKIN CARE,UNKNOWN,956.0
ACTI-VITA GOLD PROCGEN SOFTENING LOTION 125 ML,أكتي-فيتا جولد بروكجين سوفتينينج,,MONTEIL PARIS > MULTITRADE,SKIN CARE,UNKNOWN,404.0
ACTI-VITA PERFECT COMPLEXION MASK 100 ML,أكتي-فيتا بيرفيكت كومبليكسيون ماسك,,MONTEIL PARIS > MULTITRADE,SKIN CARE,TOPICAL,276.0
ACTI-VITA ULTRA RICH CREME PROCGEN 50 ML,أكتي-فيتا أولترا ريتش كريمي بروكجين,,MONTEIL PARIS > MULTITRADE,SKIN CARE,TOPICAL,700.0
ACTICA 10 SACHETS,أكتيكا,CALCIUM CARBONATE+MAGNESIUM+ZINC+VIT.D3+VIT.K2+LACTOFERRIN,MED CARE > DRUG PHARMA EGYPT,MINIRALS AND VITAMINS,EFF,50.0
ACTIDIOR GEL 25 GM,أكتيديور,,LEADER COSMETICS > PUREX HEALTH CARE,EYE CONTOUR,TOPICAL,100.0
ACTIFAST 50 MG 30 F.C.TAB.,أكتيفاست,DICLOFENAC POTASSIUM,SIGMA > OCTOBER PHARMA,NSAID.ACETIC ACID DERIVATIVES,ORAL.SOLID,39.0
ACTIFAST 50 MG 30 SACHETS,أكتيفاست,DICLOFENAC POTASSIUM,SIGMA > OCTOBER PHARMA,NSAID.ACETIC ACID DERIVATIVES,EFF,105.0
ACTIFAST 50 MG 6 SACHETS,أكتيفاست,DICLOFENAC POTASSIUM,SIGMA > OCTOBER PHARMA,NSAID.ACETIC ACID DERIVATIVES,EFF,21.0
ACTIFED 12 TAB.,أكتيفيد,PSEUDOEPHEDRINE+TRIPROLIDINE,GLAXO SMITHKLINE,COLD PRODUCTS,ORAL.SOLID,5.0
ACTIFED EXPECTORANT SYRUP 120 ML,أكتيفيد إكسبيكتورانت,GUAIFENESIN+PSEUDOEPHEDRINE+TRIPROLIDINE,GLAXO SMITHKLINE,ANTI-COUGH.ANTITUSSIVE AND EXPECTORANT,ORAL.LIQUID,6.25
ACTIFED SYRUP 120ML,أكتيفيد,PSEUDOEPHEDRINE+TRIPROLIDINE,GLAXO SMITHKLINE,COLD PRODUCTS,ORAL.LIQUID,5.5
ACTIFLASH MASSAGE GEL 100 GM,أكتيفلاش ماسساجي,PEPPERMINT+CAMPHOR+EUCALYPTUS+TEA TREE OIL+ALMOND+VIT.E&B6+CLOVE OIL+CINNAMON+GREEN TEA+POMEGRANATE,LEADER FOR COSMETICS > ACTIVA THERAPEUTICS,MASSAGE CREAM,TOPICAL,69.0
ACTIFLASH MASSAGE GEL 50 GM,أكتيفلاش ماسساجي,PEPPERMINT+CAMPHOR+EUCALYPTUS+TEA TREE OIL+ALMOND+VIT.E&B6+CLOVE OIL+CINNAMON+GREEN TEA+POMEGRANATE,LEADER FOR COSMETICS > ACTIVA THERAPEUTICS,MASSAGE CREAM,TOPICAL,45.0
ACTIFLEXIN 30 CAPS.,أكتيفليكسين,NATURAL EGGSHELL MEMBRANE,> PHARMA MEDICA,JOINT HEALTH,ORAL.SOLID,210.0
ACTIHER 10 SACHETS * 3 GM,أكتيهير,FENUGREEK+FENNEL+DILL+CARAWAY+CHAMOMILE+ANISE OIL+CALCIUM+VITAMIN D3,MEDCARE > SALIX PHARMA,LACTAGOGUE,EFF,34.0
ACTILYSE 50 MG 2 VIALS+2 SOLVENTS I.V. INF.,أكتيليسي +2 سولفينتس,ALTEPLASE,BOEHRINGER INGELHEIM,TISSUE PLASMINOGEN ACTIVATOR,INJECTION,21997.0
ACTIMAR 30 CAPS.,أكتيمار,L-GLUTAMINE+L-TAURINE+THIAMINE+PYRIDOXINE+ZINC,HI-PHARM,MULTI-VITAMINS.COMINATION,ORAL.SOLID,120.0
ACTIMAXVIT 15 CAPS.,أكتيماكسفيت,VITAMINS,VITABIOTICS,VITAMIN,ORAL.SOLID,12.0
ACTIMO 100 MG 14 SACHETS,أكتيمو,LACTOFERRIN,> LEVANA,IRON SUPPLEMENT,EFF,198.0
ACTIMOXIFLOX 400 MG 10 F.C.TABS.,أكتيموكسيفلوكس,MOXIFLOXACIN,INTERNATIONAL DRUG AGENCY (IDI) > MIRA INTERNATIONAL,ANTIBIOTIC.QUINOLONE,ORAL.SOLID,184.0
ACTIMOXIFLOX 400 MG 5 F.C.TABS.,أكتيموكسيفلوكس,MOXIFLOXACIN,INTERNATIONAL DRUG AGENCY (IDI) > MIRA INTERNATIONAL,ANTIBIOTIC.QUINOLONE,ORAL.SOLID,92.0
ACTIVASE 50MG 29MIU (2VIALS),أكتيفاسي 29ميو,ALTEPLASE,GENENTECH > EGYPTIAN PHARMACEUTICAL TRADING COMPANY,TISSUE PLASMINOGEN ACTIVATOR,INJECTION,8100.0
ACTIVATE 200MG 40 SUGAR COATED TAB. (N/A),أكتيفاتي 40 سوجار كواتيد,SULBUTIAMINE,SIGMA,NOOTROPIC,ORAL.SOLID,26.0
ACTIVATED BLACKSEED 1000MG 30 CAPSULES,أكتيفاتيد بلاكسيد,NIGELLA SATIVA SEED OIL 1000MG,GRANTY FOOD INDUSTRIES > AVANTIC,ANTI OXIDANT AND ANTI INFLAMMATORY AGENT,ORAL.SOLID,230.0
ACTIVE HAIR CREAM 100 GM,أكتيفي هاير,GARLIC EXT+ALOE VERA OIL+PANTHENOL+LAVENDER OIL+VIT(E+C)+PEPPERMINT OIL+JOJOBA OIL+EMU OIL+OLIVE OIL,HI-CARE > AVANO PHARMA,HAIR CARE,UNKNOWN,120.0
ACTIVE HAIR LOTION 250 ML,أكتيفي هاير,GARLIC EXTRACT-OIL+ALOE VERA EXTRACT+THYME EXTRACT+PEPPERMINT OIL+GINKGO BILOBA+VITAMIN E+PANTHENOL,HI-CARE > AVANO PHARMA,HAIR CARE,UNKNOWN,135.0
ACTIVE HAIR OIL 120 ML,أكتيفي هاير أويل,ALOE VERA OIL+JOJOBA OIL+THYME OIL+JASMINE OIL+OLIVE OIL+ROSEMARY OIL+LAVENDER OIL+VITAMIN E,HI-CARE > AVANO PHARMA,HAIR CARE,UNKNOWN,120.0
ACTIVE HAIR OIL 60 ML,أكتيفي هاير أويل,,HI-CARE > AVANO PHARMA,HAIR CARE,UNKNOWN,50.0
ACTIVE HAIR SERUM 120 ML,أكتيفي هاير سيروم,,HI-CARE > AVANO PHARMA,HAIR CARE,SPRAY,225.0
ACTIVE HAIR SHAMPOO 250 ML,أكتيفي هاير,,HI-CARE > AVANO PHARMA,HAIR CARE,TOPICAL,140.0
ACTIVE MAN (NATURES AID) 60 CAPS.,أكتيفي مان,L-ARGININE+KOREAN GINSENG+DAMIANA+MACA+ZINC,> STADA,MULTIVITAMIN,ORAL.SOLID,500.0
ACTIVE MASSAGE CREAM 50 GM,أكتيفي ماسساجي,,LEADER COSMETICS > INTERPHARMA,MASSAGE CREAM,TOPICAL,19.95
ACTIVE-MENO 30 TABS.,أكتيفي-مينو,SOY ISOFLAVONES+HYALURONIC ACID+CALCIUM+VITAMIN D+VITAMIN B1+VITAMIN B2+VITAMIN B6+VITAMIN B12+BIOTIN+FOLIC ACID,DOPPELHERZ > DEUTSCHE PHARMA,MULTIVITAMIN,ORAL.SOLID,650.0
ACTIVENT 8MG SR 20 CAP.,أكتيفينت سر,SALBUTAMOL,MUP,BRONCHODILATOR,ORAL.SOLID,13.2
ACTIVIN 20 TAB.,أكتيفين,GRAPE SEEDS EXTRACT,MEPACO,ANTIOXIDANT,ORAL.SOLID,19.5
ACTIVITY MASSAGE CREAM 75 GM,أكتيفيتي ماسساجي,STEARIC ACID+BEES WAX+SODIUM HYDROXIDE+PEPPERMINT OIL+GLYCEROL+THYME EXTRACT+CLOVE EXTRACT+CINNAMON+,EGYPTIAN COMPANY FOR COSMETICS > CARE MID-EAST PHARMA,MASSAGE CREAM,TOPICAL,37.0
ACTNOW 10 CAPSULES,أكتنوو,GINSENG+ROYAL JELLY+WHEAT GERM OIL+BEE POLLEN+BEE PROPOLIS,SIGMA > EGPI,MULTIVITAMINS,ORAL.SOLID,30.0
ACTO-C MOUTH SPRAY 60 ML,أكتو-ك موث,MOUTH WASH FORMULA,EGPI > TADAWI EGYPT,ORAL CARE,SPRAY,14.0
ACTODAY 5 MG 10 F.C. TAB.,أكتوداي,RISEDRONATE SODIUM,CHEMIPHARM,OSTEOPOROSIS.BISPHOSPHONATES,ORAL.SOLID,35.0
ACTOFENSE 30 TABLETS,أكتوفينسي,VIT C+VIT E+ZINC+VIT B1+VIT B2+VIT B 3+VIT B5+VIT B6+VIT B12+BIOTIN+CAL CARBONATE+COPPER+FOLATE,KARMAN > K&M PHARMA,MULTIVITAMIN,ORAL.SOLID,105.0
ACTOFLEX 3% TOPICAL GEL 25 GM,أكتوفليكس 3%,FELBINAC,WESTERN PHARMACEUTICALS INDUSTRIES > WESTERN PHARMA,NSAID.ACETIC ACID DERIVATIVES,TOPICAL,6.5
ACTOLIND GEL 30 ML,أكتوليند,0  1% POLYHEXANIDE (PHMB)+POLOXAMER+AUXILIARY SUBSTANCES,ACTO GMBH > BIOSOURCE,HEALING TOPICAL,TOPICAL,270.0
ACTOLIND GEL 50 ML,أكتوليند,0  1% POLYHEXANIDE (PHMB)+POLOXAMER+AUXILIARY SUBSTANCES,ACTO GMBH > BIOSOURCE,HEALING TOPICAL,TOPICAL,359.0
ACTOMAX 1% SPRAY 500 ML,أكتوماكس 1%,PERMETHRIN,> RIDGE PHARMA,SCABICID,SPRAY,149.0
ACTONEL 35MG ONCE-A-WEEK 2 F.C. TAB. (N/A),أكتونيل أونسي-أ-ويك,RISEDRONATE SODIUM,ACTAVIS > MULTIPHARMA,OSTEOPOROSIS.BISPHOSPHONATES,ORAL.SOLID,121.5
ACTONEL 5MG 14 F.C. TAB.,أكتونيل,RISEDRONATE SODIUM,SANOFI,OSTEOPOROSIS.BISPHOSPHONATES,ORAL.SOLID,80.0
ACTONL CREAM MASSAGE 60 MG,أكتونل ماسساجي,EUGENOL+EUCALYPTUS OIL+PEPPERMINT OIL+CAMPHOR,SMARTEC FOR MEDICAL PRODUCTS &COSMETICS > MARAN  ASSA,MASSAGE CREAM,TOPICAL,40.0
ACTOS 15MG 30 TAB.,أكتوس,PIOGLITAZONE,ARAB PHARMACEUTICAL MANUFACTURING CO. > HIKMA PHARMA,ANTI-DIABETIC.SENSITIZERS.GLITAZONE,ORAL.SOLID,273.0
ACTOS 30MG 30 TAB.,أكتوس,PIOGLITAZONE,ARAB PHARMACEUTICAL MANUFACTURING CO. > HIKMA PHARMA,ANTI-DIABETIC.SENSITIZERS.GLITAZONE,ORAL.SOLID,372.0
ACTOSEB WITH CALCIUM 28 F.C. TAB.(BIPHASIC),أكتوسيب ويث كالسيوم,CALCIUM CARBONATE+RISEDRONATE SODIUM,SABAA > ACTIVA THERAPEUTICS,OSTEOPOROSIS.BISPHOSPHONATES.PLUS CALCIUM,ORAL.SOLID,106.0
ACTOWEEK 35 MG 1 F.C. TAB.,أكتوويك,RISEDRONATE SODIUM,CHEMIPHARM,OSTEOPOROSIS.BISPHOSPHONATES,ORAL.SOLID,20.0
ACTOZONE 30MG 10 TAB.,أكتوزوني,PIOGLITAZONE,AMOUN,ANTI-DIABETIC.SENSITIZERS.GLITAZONE,ORAL.SOLID,33.5
ACTOZONE 45MG 10 TAB.,أكتوزوني,PIOGLITAZONE,AMOUN,ANTI-DIABETIC.SENSITIZERS.GLITAZONE,ORAL.SOLID,50.0
ACTRAPID HM 100 I.U./ML  5*3ML PENFILLS,أكترابيد هم 100 إ.أو./مل 5 بينفيللس,INSULIN NEUTRAL HUMAN,NOVO NORDISK,ANTI-DIABETIC.INSULIN ANALOUGE,INJECTION,338.0
ACTRAPID HM 100 I.U./ML 10 ML VIAL,أكترابيد هم 100 إ.أو./مل,INSULIN NEUTRAL HUMAN,NOVO NORDISK,ANTI-DIABETIC.INSULIN ANALOUGE,INJECTION,130.0
ACTRIAZOLE 200 MG 2 CAPS.,أكتريازولي,FLUCONAZOLE,EGPI > RIGHT CARE PHARMA,ANTIFUNGALS.TRIAZOLES,ORAL.SOLID,51.5
ACTRIAZOLE 200 MG 7 CAPS. (N/A),أكتريازولي,FLUCONAZOLE,EGPI > RIGHT CARE PHARMA,ANTIFUNGALS.TRIAZOLES,ORAL.SOLID,51.5
ACTYLOGLUTA SE  20TAPS,أكتيلوجلوتا سي 20تابس,N-ACETYL CYSTEINE 300MG. GLUTATHIONE 100MG. SELENIUM 50MCG. VITAMIN C 64 MG. MOLYBDENUM 40MCG,LIFE SAVER INTERNATIONAL > NASH PHARMA,ANTI OXIDANT,ORAL.SOLID,170.0
ACUCORT CREAM 60 GM,أكوكورت,GLUCOSAMINE SULFATE+CHONDROITIN SULFATE+LIPOSOME (VITAMIN E)+CORN GERM OIL,EGYPTIAN COMPANY FOR COSMETICS > SPEDA PHARMA,MASSAGE CREAM,TOPICAL,38.0
ACULAR LS 0.4% EYE DROPS 5 ML,أكولار لس 0.4% إيي,KETOROLAC TROMETHAMINE,ALLERGAN > SOFICOPHARM,NSAID.ACETIC ACID DERIVATIVES,EYE,41.5
ACUPAN 20MG/ML 3 AMPS.(N/A),أكوبان /مل,NEFOPAM,EIPICO > 3M HEALTH CARE-U.K.,ANALGESIC.NON OPIOID,INJECTION,7.05
ACUPAN 30MG 20 TABS.(N/A),أكوبان,NEFOPAM,EIPICO > 3M HEALTH CARE-U.K.,ANALGESIC.NON OPIOID,ORAL.SOLID,10.0
ACYCLOSTAD 5% CREAM 10 GM,أسيكلوستاد 5%,ACYCLOVIR,GLOBAL NAPI PHARMACEUTICALS > STADA,ANTI-VIRAL.NUCLEOSIDE,TOPICAL,23.0
ACYCLOVIR 3% EYE OINT. 5 GM (N/A),أسيكلوفير 3% إيي,ACYCLOVIR,MISR,ANTI-VIRAL.NUCLEOSIDE,EYE,5.75
ACYCLOVIR 400 STADA 35 TABS.,أسيكلوفير 400 ستادا,ACYCLOVIR,GLOBAL NAPI PHARMACEUTICALS > STADA,ANTI-VIRAL.NUCLEOSIDE,ORAL.SOLID,210.0
ACYCLOVIR 800 STADA 35 TABS.,أسيكلوفير 800 ستادا,ACYCLOVIR,GLOBAL NAPI PHARMACEUTICALS > STADA,ANTI-VIRAL.NUCLEOSIDE,ORAL.SOLID,280.0
ACYCLOVIR-MISR 5% TOPICAL CREAM 10 GM,أسيكلوفير-ميسر 5%,ACYCLOVIR,MISR,ANTI-VIRAL.NUCLEOSIDE,TOPICAL,23.0
ACZONE 30 GM GEL,أكزوني,LACTIC ACID+MARINE COLLAGEN+VITAMIN C (ASCORBIC ACID)+HYALURONIC ACID+VITAMIN E (TOCOPHEROL)+TEA TREE OIL+ALOE VERA EXTRACT+CALENDULA EXTRACT,SMARTEC PHARMACEUTICALS AND COSMETIC > BETA PHARM,GEL FOR ACNE PRONE SKIN,TOPICAL,134.0
AD-MUC ORAL OINT. 10 GM (N/A),أد-موك أورال,CHAMOMILE+MYRRH TINCTURE,MARCYRL PHARMACEUTICAL INDUSTRIES (MPI) > MERZ,ORAL CARE,TOPICAL,11.0
ADAGEL 0.1% TOPICAL GEL. 30 GM,أداجيل 0.1%,ADAPALENE,EGPI > TAG PHARMA,ANTI-ACNE,TOPICAL,34.0
ADALAT LA 30MG 30 F.C. TABS. (N/A),أدالات لا,NIFEDIPINE,BAYER PHARMA AG > BAYER HEALTHCARE,ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER,ORAL.SOLID,67.5
ADALIMAB-EIPICO 40 MG/0.8ML PREFILLED SYRINGE,أداليماب-إيبيكو / بريفيلليد سيرينجي,ADALIMUMAB,RELIANCE LIFE SCIENCES > EIPICO,TNF-INHIBITOR,INJECTION,4675.0
ADALIMAB-EVA 40 MG/0.4ML 2 PREFILLED SYRINGE,أداليماب-إفا / 2 بريفيلليد سيرينجي,ADALIMUMAB,ALVOTECH > EVA PHARMA,TNF-INHIBITOR,INJECTION,7000.0
ADAM 90 VEG. CAPS. (NOW),أدام 90 فيج,,NOW FOODS > SOFICOPHARM,MULTIVITAMIN,ORAL.SOLID,1850.0
ADAMAT 250MG 30CAPS.,أدامات,METHYLDOPA,EL NASR,ANTIHYPERTENSIVES.CENTERAL ALPHA 2 AGONIST,ORAL.SOLID,8.6
ADAMINE 100MG 20 CAPS.,أداميني,AMANTADINE,RAMEDA,ANTI-VIRAL.UNCOATING INHIBITOR,ORAL.SOLID,18.0
ADANCOR 10MG 30 BREAKABLE TABS.,أدانكور 30 برياكابلي,NICORANDIL,MERCK KGAA F.R.GERMANY > MERCK LIMITED EGYPT,ANTI-ISCHEMIC,ORAL.SOLID,83.0
ADANCOR 20MG 30 BREAKABLE TABS.,أدانكور 30 برياكابلي,NICORANDIL,MERCK KGAA  F.R.GERMANY > MERCK LIMITED EGYPT,ANTI-ISCHEMIC,ORAL.SOLID,142.0
